10.5098	8	0	baseline	-1	P1	1	0.0000	30.00	30.00	30.00	30.00	30.00	nan	nan	nan	nan	nan
10.6098	8	0	baseline	-1	P1	1	0.0000	30.00	30.00	30.00	30.00	30.00	nan	nan	nan	nan	nan
10.7098	8	0	baseline	-1	P1	1	0.0000	30.00	30.00	30.00	30.00	30.00	nan	nan	nan	nan	nan
10.8098	8	0	baseline	-1	P1	1	0.0000	30.00	30.00	30.00	30.00	30.00	nan	nan	nan	nan	nan
10.9098	8	0	baseline	-1	P1	1	0.0000	30.00	30.00	30.00	30.00	30.00	nan	nan	nan	nan	nan
11.0098	8	0	baseline	-1	P1	1	0.0000	30.00	30.00	30.00	30.00	30.00	nan	nan	nan	nan	nan
11.1098	8	0	baseline	-1	P1	1	0.0000	30.00	30.00	30.00	30.00	30.00	nan	nan	nan	nan	nan
11.2098	8	0	baseline	-1	P1	1	0.0000	30.00	30.00	30.00	30.00	30.00	nan	nan	nan	nan	nan
11.3098	8	0	baseline	-1	P1	1	0.0000	30.00	30.00	30.00	30.00	30.00	nan	nan	nan	nan	nan
11.4098	8	0	baseline	-1	P1	1	0.0000	30.00	30.00	30.00	30.00	30.00	nan	nan	nan	nan	nan
